Period,Amplitude,kfᴸᴬ,krᴸᴬ,kfᴸᴷ,krᴸᴷ,kcatᴸᴷ,kfᴸᴾ,krᴸᴾ,kcatᴸᴾ,kfᴬᴷ,krᴬᴷ,kfᴬᴾ,krᴬᴾ,DF,L,K,P,A,Kdᴸᴬ,Kdᴬᴷ,Kdᴬᴾ,Kmᴸᴷ,Kmᴸᴾ
332.7,0.65466,98.3939,1.16779,0.001,25.27334,765.03316,13.98006,0.00202,1.45344,0.75068,5.25608,0.001,0.001,1000.0,6.22129,69.62419,2.14409,1.49171,0.01187,7.00178,1.0,790306.50109,0.10411
232.61429,0.7813,0.376,0.7464,0.001,41.77428,65.31566,0.75155,0.501,12.71855,0.35218,0.001,47.36934,0.27912,1000.0,19.60819,14.94551,0.64328,1.05301,1.9851,0.00284,0.00589,107089.9344,17.58966
708.4,0.88264,40.61913,8.1673,0.001,21.8098,98.94879,26.4965,8.64624,150.52499,27.9582,0.001,0.52081,0.001,1000.0,46.01538,2.75452,0.48179,1.71416,0.20107,4.0e-5,0.00192,120758.59154,6.00726
340.775,0.50738,23.02587,0.85829,0.001,4.37796,9.13938,29.53712,1.251,3.46644,0.001,0.001,0.001,0.001,1000.0,20.75644,24.1352,2.51894,0.93754,0.03728,1.0,1.0,13517.33686,0.15971
393.375,0.71159,1.08246,0.92851,0.001,4.06481,340.41507,55.97173,69.09708,3.96906,2.52407,0.001,23.14119,1.14201,1000.0,19.1452,9.36848,7.71655,4.80018,0.85778,0.0004,0.04935,344479.88489,1.30541
7.24899,0.16907,62.45589,339.7191,0.001,0.376,68.96632,62.2751,0.001,760.94559,47.68664,1.67286,0.50335,0.53363,1000.0,9.48711,4.40472,0.01,3.46744,5.43934,0.03508,1.06015,69342.32287,12.21912
491.7,0.77046,7.62398,1.08187,0.001,1.10095,86.99319,4.08147,0.251,0.93262,46.63073,19.22871,0.001,0.001,100.0,55.2462,1.135,0.93691,0.66213,0.1419,0.41236,1.0,88094.14209,0.29
656.8,0.60154,1.1263,0.76498,0.00943,344.99873,5.39428,0.54678,0.001,0.66616,0.03972,0.01861,0.001,0.001,500.0,17.00553,21.49724,1.35654,1.10649,0.6792,0.46849,1.0,37162.60712,1.22016
471.73333,0.57201,1.47594,1.05127,0.001,197.56925,28.49053,0.91589,0.626,1.13632,0.001,0.001,0.001,0.001,500.0,45.46045,68.74832,3.13797,1.84232,0.71227,1.0,1.0,226059.78049,1.92415
550.0,0.53999,27.04033,2.46708,0.001,578.33233,140.84195,3.60576,0.83432,0.12825,48.1819,12.02259,0.00136,0.001,500.0,3.86704,16.32871,1.18641,0.7934,0.09124,0.24953,0.73492,719174.27373,0.26695
726.2,0.6563,1.92164,8.1722,0.001,242.25083,25.51071,0.2129,1.16028,0.60512,0.001,0.001,2.76228,36.92895,500.0,85.91794,26.08903,9.48489,5.68725,4.25273,1.0,13.36901,267761.54789,8.29221
